name,flag_colours
Senegal,"Green, Red, Yellow"
Serbia,"Red, Blue, White"
Seychelles,"Blue, Green, Red, White, Yellow"
Sierra Leone,"Green, Blue, White"
Singapore,"Red, White"
Sint Eustatius,
Sint Maarten (Dutch Part),
Slovakia,"White, Blue, Red"
Slovenia,"Blue, Red, White"
Solomon Islands,"Olive Green, Blue, Yellow"
Somalia,"Blue, White"
South Africa,"Red, Black, Blue, Gold, Green, White"
South Georgia And The South Sandwich Islands,
South Korea,"White, Black, Blue, Red"
South Sudan,"Black, Blue, Green, Red, White, Yellow"
Spain,"Red, Gold"
Sri Lanka,"Maroon, Gold, Green, Orange"
Sudan,"Red, Black, Green, White"
Suriname,"Gold, Green, Red, White"
Svalbard And Jan Mayen,
Sweden,"Blue, Gold"
Switzerland,"Red, White"
Syria,"Red, Black, Green, White"
"Taiwan, Province Of China",
Tajikistan,"Golden, Green, Red, White"
Tanzania,"Green, Black, Blue, Yellow"
Thailand,"Red, Blue, White"
Timor-Leste,
Togo,"Green, Red, White, Yellow"
Tokelau,
Tonga,"Red, White"
Trinidad And Tobago,"Red, Black, White"
Tunisia,"Red, White"
Turkey,"Red, White"
Turkmenistan,"Green, White"
Turks And Caicos Islands,
Tuvalu,"Dark Blue, Gold, Red, Sky Blue, White"
Uganda,"Blue, Red, White, Yellow"
Ukraine,"Blue, Gold"
United Arab Emirates,"Red, Black, Green, White"
United Kingdom,"Red, Blue, White"
United States,"Red, Blue, White"
United States Minor Outlying Islands,
Uruguay,"Blue, White"
Uzbekistan,"Blue, Green, Red, White"
Vanuatu,"Red, Black, Green, Yellow"
Venezuela,"Yellow, Blue, Red"
Vietnam,"Red, Yellow"
"Virgin Islands, British",
"Virgin Islands, U.S.",
Wallis And Futuna,
Western Sahara,
Yemen,"Red, Black, White"
Zambia,"Green, Black, Orange, Red"
Zimbabwe,"Green, Black, Red, White, Yellow"
Åland Islands,"Blue, Gold, Red"
